GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Chongqing-EP_Coal_600_RC-ep-3175,0.4,8.52475
Chongqing-EP_Coal_600_RC-ep-3175,1.0,7.93
Chongqing-EP_Coal_600_RC-ep-3176,0.4,8.52475
Chongqing-EP_Coal_600_RC-ep-3176,1.0,7.93
Chongqing-EP_Coal_600_RC-ep-3177,0.4,8.52475
Chongqing-EP_Coal_600_RC-ep-3177,1.0,7.93
Chongqing-EP_Gas_CCGT_RC-ep-2073,0.45,9.42564
Chongqing-EP_Gas_CCGT_RC-ep-2073,1.0,6.86
Chongqing-EP_Gas_CCGT_RC-ep-2074,0.45,9.42564
Chongqing-EP_Gas_CCGT_RC-ep-2074,1.0,6.86
Chongqing-Gas_CCGT_OT-12675,0.45,8.88978
Chongqing-Gas_CCGT_OT-12675,1.0,6.47
Chongqing-Gas_CCGT_RC-12667,0.45,9.64548
Chongqing-Gas_CCGT_RC-12667,1.0,7.02
Chongqing-Gas_CCGT_RC-12685,0.45,9.64548
Chongqing-Gas_CCGT_RC-12685,1.0,7.02
Chongqing-Gas_Combustion_Turbine_RC-13005,0.4,11.03368
Chongqing-Gas_Combustion_Turbine_RC-13005,1.0,9.76
East_Inner_Mongolia-Coal_1000_DRY-11449,0.4,8.9225
East_Inner_Mongolia-Coal_1000_DRY-11449,1.0,8.3
East_Inner_Mongolia-Coal_1000_DRY-11465,0.4,8.9225
East_Inner_Mongolia-Coal_1000_DRY-11465,1.0,8.3
East_Inner_Mongolia-Coal_1000_DRY-11481,0.4,8.9225
East_Inner_Mongolia-Coal_1000_DRY-11481,1.0,8.3
East_Inner_Mongolia-Coal_1000_RC-11439,0.4,8.471
East_Inner_Mongolia-Coal_1000_RC-11439,1.0,7.88
East_Inner_Mongolia-Coal_1000_RC-11455,0.4,8.471
East_Inner_Mongolia-Coal_1000_RC-11455,1.0,7.88
East_Inner_Mongolia-Coal_1000_RC-11471,0.4,8.471
East_Inner_Mongolia-Coal_1000_RC-11471,1.0,7.88
East_Inner_Mongolia-Coal_100_RC-ep-485,0.4,9.7395
East_Inner_Mongolia-Coal_100_RC-ep-485,1.0,9.06
East_Inner_Mongolia-Coal_100_RC-ep-486,0.4,9.7395
East_Inner_Mongolia-Coal_100_RC-ep-486,1.0,9.06
East_Inner_Mongolia-Coal_100_RC-ep-487,0.4,9.7395
East_Inner_Mongolia-Coal_100_RC-ep-487,1.0,9.06
East_Inner_Mongolia-Coal_100_RC-ep-488,0.4,9.7395
East_Inner_Mongolia-Coal_100_RC-ep-488,1.0,9.06
East_Inner_Mongolia-Coal_100_RC-ep-520,0.4,9.7395
East_Inner_Mongolia-Coal_100_RC-ep-520,1.0,9.06
East_Inner_Mongolia-Coal_100_RC-ep-521,0.4,9.7395
East_Inner_Mongolia-Coal_100_RC-ep-521,1.0,9.06
East_Inner_Mongolia-Coal_100_RC-ep-535,0.4,9.7395
East_Inner_Mongolia-Coal_100_RC-ep-535,1.0,9.06
East_Inner_Mongolia-Coal_100_RC-ep-536,0.4,9.7395
East_Inner_Mongolia-Coal_100_RC-ep-536,1.0,9.06
East_Inner_Mongolia-Coal_100_RC-ep-537,0.4,9.7395
East_Inner_Mongolia-Coal_100_RC-ep-537,1.0,9.06
East_Inner_Mongolia-Coal_100_RC-ep-538,0.4,9.7395
East_Inner_Mongolia-Coal_100_RC-ep-538,1.0,9.06
East_Inner_Mongolia-Coal_100_RC-ep-539,0.4,9.7395
East_Inner_Mongolia-Coal_100_RC-ep-539,1.0,9.06
East_Inner_Mongolia-Coal_100_RC-ep-540,0.4,9.7395
East_Inner_Mongolia-Coal_100_RC-ep-540,1.0,9.06
East_Inner_Mongolia-Coal_100_RC-ep-558,0.4,9.7395
East_Inner_Mongolia-Coal_100_RC-ep-558,1.0,9.06
East_Inner_Mongolia-Coal_100_RC-ep-559,0.4,9.7395
East_Inner_Mongolia-Coal_100_RC-ep-559,1.0,9.06
East_Inner_Mongolia-Coal_300_DRY-11453,0.4,10.07275
East_Inner_Mongolia-Coal_300_DRY-11453,1.0,9.37
East_Inner_Mongolia-Coal_300_DRY-11469,0.4,10.07275
East_Inner_Mongolia-Coal_300_DRY-11469,1.0,9.37
East_Inner_Mongolia-Coal_300_DRY-11485,0.4,10.07275
East_Inner_Mongolia-Coal_300_DRY-11485,1.0,9.37
East_Inner_Mongolia-Coal_300_RC-11443,0.4,9.589
East_Inner_Mongolia-Coal_300_RC-11443,1.0,8.92
East_Inner_Mongolia-Coal_300_RC-11459,0.4,9.589
East_Inner_Mongolia-Coal_300_RC-11459,1.0,8.92
East_Inner_Mongolia-Coal_300_RC-11475,0.4,9.589
